Plant,Low Temp,High Temp,Ideal temp,Low Humidity,High Humidity,Ideal Humidity
African Violet,18,27,23,40,60,50
Aloe Vera,13,27,20,40,50,45
Anthurium,18,27,23,60,70,65
Begonia,18,24,21,50,70,60
Birds Nest Fern,20,38,29,50,60,55
Boston Fern,15,24,20,80,80,80
Calathea,15,21,18,50,60,55
Cast Iron Plant,18,26,22,40,60,50
Chinese Evergreen,18,27,23,50,70,60
Christmas Cactus,15,15,15,50,60,55
Chrysanthemum,15,20,18,50,70,60
Ctenanthe,18,27,23,50,70,60
Daffodils,10,21,16,40,60,50
Dracaena,18,27,23,40,60,50
Elephant Ear,18,29,24,50,60,55
Hyacinth,15,20,18,40,60,50
Iron Cross Begonia,18,24,21,50,60,55
Jade Plant,18,24,21,40,60,50
Lilium,15,24,20,50,50,50
Lily of the Valley,15,21,18,45,60,53
Monstera Deliciosa,18,30,24,50,70,60
Orchid,20,32,26,50,70,60
Peace Lily,18,27,23,50,60,55
Poinsettia,18,18,18,50,75,63
Polka Dot Plant,18,27,23,50,60,55
Pothos,18,29,24,40,60,50
Prayer Plant,18,30,24,50,60,55
Rattlesnake Plant,18,24,21,50,60,55
Rubber Plant,15,30,23,40,50,45
Schefflera,15,24,20,40,60,50
Snake Plant,16,27,22,30,50,40
Tradescantia,15,24,20,30,50,40
Tulip,10,16,13,40,60,50
ZZ Plant,18,24,21,50,50,50
